id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,cluster
6gXrEUzibufX9xYPk3HD5p,0.0966,0.667,0.755,6.94e-05,0.0523,0.069,109.535,0.883,286220,-7.246,3
3XIEWK1V9n25PS9Vb6axj5,0.0834,0.704,0.868,0.0,0.206,0.0315,131.468,0.808,188133,-5.808,3
49MHCPzvMLXhRjDantBMVH,0.703,0.589,0.453,2.54e-05,0.134,0.0397,139.148,0.513,290573,-8.912,9
2hdNya0b6Cc2YJ8IyaQIWp,0.583,0.549,0.651,0.0,0.121,0.0323,122.818,0.368,212307,-7.097,23
7vidktgNZFQylTgH1GEnMs,0.0264,0.562,0.609,0.0,0.17,0.0271,130.753,0.512,200213,-7.063,1
3hJLKtTpgct9Y9wKww0BiR,0.443,0.795,0.71,0.0215,0.344,0.0392,109.689,0.845,288667,-4.746,13
6xdLJrVj4vIXwhuG8TMopk,0.713,0.599,0.761,4.74e-06,0.349,0.0421,77.015,0.712,163373,-6.887,5
2M2WJ7gBlcKNxdhyfPp9zY,0.447,0.784,0.713,0.14,0.0904,0.0339,115.443,0.97,220560,-6.865,13
6kooDsorCpWVMGc994XjWN,0.0241,0.465,0.907,0.00118,0.13,0.113,117.293,0.681,238973,-6.404,25
3Um9toULmYFGCpvaIPFw7l,0.447,0.283,0.716,0.0,0.399,0.0986,201.96,0.828,233000,-9.632,25
0HOrDVS349XFcpCYsO2hAP,0.000146,0.475,0.439,0.000277,0.223,0.0427,118.392,0.76,234867,-15.039,22
52VIdyKqp1pJRSyUQaxKUA,0.735,0.365,0.338,0.0,0.104,0.0322,79.241,0.446,187000,-13.406,9
6rovOdp3HgK1DeAMYDzoA7,0.559,0.605,0.574,0.113,0.0684,0.0377,129.449,0.543,350267,-10.536,23
6zGDIDjfDkPyNxrEERO3XG,0.1,0.58,0.885,0.00157,0.146,0.0715,145.405,0.788,137933,-5.154,25
3M8FzayQWtkvOhqMn2V4T2,0.782,0.619,0.22,1.19e-05,0.124,0.0672,75.143,0.426,258835,-13.843,9
3IvTwPCCjfZczCN2k4qPiH,0.767,0.582,0.214,2.07e-06,0.122,0.0315,72.794,0.515,190066,-17.83,9
4J0DbyODwZJcmIAiTSJfMF,0.871,0.304,0.305,0.00368,0.367,0.0298,146.066,0.464,180693,-10.879,19
76TZCvJ8GitQ2FA1q5dKu0,0.702,0.439,0.488,0.000339,0.16,0.0615,93.017,0.629,308520,-14.464,9
6Qb7gtV6Q4MnUjSbkFcopl,0.166,0.815,0.372,0.000116,0.0767,0.0752,101.684,0.293,217347,-12.814,7
1B5Tp2Ml9nLlmTSJx8xVfI,0.746,0.358,0.387,0.0121,0.119,0.0324,181.183,0.495,218440,-14.342,9
4GhtDORJiSRYxj6M1bv0vX,0.00221,0.518,0.907,1.15e-05,0.0838,0.0343,140.982,0.961,179013,-3.732,3
